Year,Inflation
1948,8.468537316
1948.25,8.626617999
1948.5,8.14401296
1948.75,4.429495505
1949,1.374143949
1949.25,-0.318457154
1949.5,-2.826827788
1949.75,-2.145577839
1950,-1.5009189
1950.25,-0.629931827
1950.5,2.030244858
1950.75,4.271374747
1951,8.564404428
1951.25,8.776621162
1951.5,6.904537147
1951.75,6.369252803
1952,2.767183203
1952.25,2.059834113
1952.5,2.788849912
1952.75,1.434776822
1953,0.766780521
1953.25,0.877068109
1953.5,0.66024635
1953.75,0.721452899
1954,1.244401803
1954.25,0.708562752
1954.5,-0.012333683
1954.75,-0.496999816
1955,-0.59536953
1955.25,-0.571423356
1955.5,-0.236418647
1955.75,0.373042322
1956,0.248496896
1956.25,1.040558176
1956.5,1.996779806
1956.75,2.548682422
1957,3.355448568
1957.25,3.548865385
1957.5,3.406687197
1957.75,3.038635906
1958,3.39758919
1958.25,3.220190779
1958.5,2.273912558
1958.75,1.895273528
1959,0.889759379
1959.25,0.390829539
1959.5,0.963674595
1959.75,1.463375776
1960,1.381533681
1960.25,1.808528949
1960.5,1.349666617
1960.75,1.386340727
1961,1.496869189
1961.25,0.864190176
1961.5,1.198166556
1961.75,0.702719262
1962,0.889529885
1962.25,1.298936125
1962.5,1.194621582
1962.75,1.292061557
1963,1.221584666
1963.25,1.031348013
1963.5,1.354969964
1963.75,1.383678544
1964,1.47655613
1964.25,1.452419491
1964.5,1.068490682
1964.75,1.258159465
1965,1.157197342
1965.25,1.632404328
1965.5,1.703064599
1965.75,1.768654139
1966,2.388713726
1966.25,2.653537184
1966.5,3.218694379
1966.75,3.507614499
1967,2.831033407
1967.25,2.534038305
1967.5,2.672638161
1967.75,2.945889514
1968,3.672686728
1968.25,4.037720454
1968.5,4.38028718
1968.75,4.522234853
1969,4.7574355
1969.25,5.355972698
1969.5,5.376344822
1969.75,5.668464405
1970,6.040794763
1970.25,5.863200269
1970.5,5.530209257
1970.75,5.448916426
1971,4.700560383
1971.25,4.223300433
1971.5,4.181519897
1971.75,3.474946813
1972,3.445597204
1972.25,3.175498198
1972.5,2.985055556
1972.75,3.278746932
1973,4.028615301
1973.25,5.456416265
1973.5,6.608481952
1973.75,8.081404516
1974,9.452022029
1974.25,10.0246265
1974.5,10.84707648
1974.75,11.37371453
1975,10.56015145
1975.25,9.114149652
1975.5,8.326739255
1975.75,7.124774258
1976,6.148875292
1976.25,5.840956202
1976.5,5.439187383
1976.75,5.057649332
1977,5.733822221
1977.25,6.576036594
1977.5,6.366901294
1977.75,6.385291437
1978,6.275180952
1978.25,6.79038585
1978.5,7.716967791
1978.75,8.552999835
1979,9.331340722
1979.25,10.21320682
1979.5,11.08425501
1979.75,11.90142571
1980,13.2844092
1980.25,13.47660198
1980.5,12.16548199
1980.75,11.81327043
1981,10.67468233
1981.25,9.417127833
1981.5,10.30302151
1981.75,9.154189574
1982,7.309869018
1982.25,6.677129925
1982.5,5.656073632
1982.75,4.348071882
1983,3.531077375
1983.25,3.249796024
1983.5,2.49481936
1983.75,3.182172284
1984,4.521563532
1984.25,4.310779045
1984.5,4.206023068
1984.75,4.070502571
1985,3.575993467
1985.25,3.54349422
1985.5,3.297680404
1985.75,3.452865151
1986,3.058567226
1986.25,1.664487856
1986.5,1.654370283
1986.75,1.337040014
1987,2.017891992
1987.25,3.632317011
1987.5,4.078227569
1987.75,4.311287793
1988,3.889080908
1988.25,3.902825284
1988.5,4.058790281
1988.75,4.216079148
1989,4.568126046
1989.25,5.031305654
1989.5,4.599035423
1989.75,4.52339285
1990,5.100511681
1990.25,4.481504222
1990.5,5.413300111
1990.75,6.087508117
1991,5.126034668
1991.25,4.733012491
1991.5,3.78131252
1991.75,2.922104769
1992,2.852531466
1992.25,3.027390391
1992.5,3.028484156
1992.75,3.07452339
1993,3.123954898
1993.25,3.077263933
1993.5,2.778331286
1993.75,2.73161262
1994,2.507751649
1994.25,2.354587196
1994.5,2.81495371
1994.75,2.570033897
1995,2.800743098
1995.25,3.04846519
1995.5,2.629339774
1995.75,2.5925392
1996,2.74582308
1996.25,2.787869917
1996.5,2.858788162
1996.75,3.18007866
1997,2.902608293
1997.25,2.275782311
1997.5,2.200623431
1997.75,1.873343189
1998,1.47173836
1998.25,1.570850602
1998.5,1.583757768
1998.75,1.514201753
1999,1.673162872
1999.25,2.090499385
1999.5,2.31901347
1999.75,2.586025264
2000,3.205013028
2000.25,3.240229064
2000.5,3.410158438
2000.75,3.385546827
2001,3.353680302
2001.25,3.270881533
2001.5,2.643118584
2001.75,1.857646005
2002,1.224139831
2002.25,1.309121753
2002.5,1.563991552
2002.75,2.22842399
2003,2.93268971
2003.25,1.986090497
2003.5,2.192353289
2003.75,1.982053882
2004,1.801832783
2004.25,2.747263738
2004.5,2.640061439
2004.75,3.328773787
2005,2.989667726
2005.25,2.881564807
2005.5,3.745303849
2005.75,3.608735312
2006,3.60812833
2006.25,3.865435515
2006.5,3.288806099
2006.75,1.929738514
2007,2.417101509
2007.25,2.632893149
2007.5,2.323083175
2007.75,3.932607953
2008,4.081019609
2008.25,4.208676919
2008.5,5.140014555
2008.75,1.543180832
2009,-0.155332652
2009.25,-0.97062521
2009.5,-1.608267448
2009.75,1.452977855
2010,2.391499917
2010.25,1.751815545
2010.5,1.210264428
2010.75,1.158924458
