,Student,Exam,Grade,Weekly study hours after midnight
1,1,1,2.669271,0.5866982
2,1,2,1.47554,1.3500454
3,1,3,4.430008,0.6830919
4,1,4,2.162789,0.5845966
5,1,5,2.678108,1.0038879
6,1,6,3.456636,0.5863289
7,1,7,1.769204,2.3375403
8,1,8,3.41379,0.9640034
9,2,1,4.017493,1.5084121
10,2,2,4.218733,2.8982499
11,2,3,4.50953,3.2141335
12,2,4,6.106228,2.0317799
13,2,5,5.161379,2.1231733
14,2,6,2.724643,4.3369017
15,2,7,4.500306,1.9141065
16,2,8,4.119322,2.8667938
17,3,1,9.987779,2.3961969
18,3,2,7.768579,3.5509275
19,3,3,9.379788,3.3284869
20,3,4,10.035937,2.2997389
21,3,5,11.75236,2.8143474
22,3,6,9.500264,2.1825704
23,3,7,8.921687,5.0126462
24,3,8,8.269932,3.4046339
25,4,1,12.101253,3.2928033
26,4,2,11.482337,3.1645218
27,4,3,10.64801,4.8073987
28,4,4,9.68732,5.3394193
29,4,5,12.796925,3.1197431
30,4,6,9.971434,4.6512983
31,4,7,10.239717,4.7709378
32,4,8,12.245207,2.7952426
33,5,1,18.47332,5.8421967
34,5,2,19.097212,4.9425391
35,5,3,19.460495,4.9166172
36,5,4,18.642305,4.9856035
37,5,5,17.723912,5.0594425
38,5,6,16.783248,4.8615618
39,5,7,16.100984,6.2069167
40,5,8,18.851351,3.8856152
41,6,1,19.683171,7.5568816
42,6,2,21.104231,6.74419
43,6,3,22.115529,6.4486514
44,6,4,22.061362,5.3727434
45,6,5,22.457905,5.8665798
46,6,6,21.424413,6.0578997
47,6,7,23.475946,4.4024323
48,6,8,24.88495,4.1596914
49,7,1,25.809011,7.6756255
50,7,2,25.432828,7.7910756
51,7,3,26.790387,7.3858301
52,7,4,24.64085,8.2090606
53,7,5,26.050086,7.3779219
54,7,6,25.297148,6.8098617
55,7,7,26.551229,7.6694272
56,7,8,26.66976,6.4425772
57,8,1,26.409669,8.3040894
58,8,2,26.570003,8.4686087
59,8,3,29.018818,7.2476785
60,8,4,30.342613,4.5207729
61,8,5,26.819959,8.7935557
62,8,6,27.147711,8.3141224
63,8,7,26.168568,9.0148308
64,8,8,27.653552,8.2081808
65,9,1,34.120485,7.841552
66,9,2,31.286463,9.7234259
67,9,3,35.763403,6.9202442
68,9,4,31.974599,9.0078286
69,9,5,32.273719,9.4954288
70,9,6,29.666208,10.2525763
71,9,7,30.949857,9.4751679
72,9,8,33.485967,8.182481
73,10,1,36.183128,10.7891587
74,10,2,37.706116,9.7119548
75,10,3,38.582725,8.638829
76,10,4,35.876781,10.8259279
77,10,5,37.111179,9.9805046
78,10,6,40.313149,7.7487456
79,10,7,38.606329,10.2891107
80,10,8,37.041938,10.3568765
81,11,1,42.617586,12.1619185
82,11,2,41.787495,11.1420338
83,11,3,43.944968,11.189873
84,11,4,43.446467,10.8099599
85,11,5,43.420819,11.269677
86,11,6,42.367318,11.6183869
87,11,7,43.543785,11.1336555
88,11,8,43.750271,12.0311065
89,12,1,46.122429,12.3528733
90,12,2,47.604306,11.4522787
91,12,3,45.568748,13.6906476
92,12,4,48.331177,12.3561907
93,12,5,47.143246,11.7339915
94,12,6,44.46119,13.3898768
95,12,7,46.879044,11.4054972
96,12,8,46.314055,12.3143487
